slice_file_name,fsID,start,end,salience,fold,classID,class,audio_path,label,true_class,pred_class,confidence,correct,prob_air_conditioner,prob_car_horn,prob_children_playing,prob_dog_bark,prob_drilling,prob_engine_idling,prob_gun_shot,prob_jackhammer,prob_siren,prob_street_music
100648-1-0-0.wav,100648,4.823402,5.471927,2,10,1,car_horn,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100648-1-0-0.wav,1,car_horn,car_horn,0.973,True,0.0026,0.973,0.00246,0.002865,0.00251,0.002104,0.003813,0.003729,0.002415,0.00427
100648-1-1-0.wav,100648,8.998279,10.052132,2,10,1,car_horn,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100648-1-1-0.wav,1,car_horn,car_horn,0.962,True,0.003448,0.962,0.007397,0.004738,0.002691,0.003782,0.003616,0.005013,0.00458,0.002893
100648-1-2-0.wav,100648,16.699509,17.104837,2,10,1,car_horn,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100648-1-2-0.wav,1,car_horn,car_horn,0.977,True,0.002596,0.977,0.002008,0.002466,0.002825,0.002352,0.00352,0.003155,0.002089,0.00217
100648-1-3-0.wav,100648,17.631764,19.253075,2,10,1,car_horn,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100648-1-3-0.wav,1,car_horn,car_horn,0.97,True,0.00388,0.97,0.004868,0.003193,0.002172,0.003798,0.003216,0.003876,0.00301,0.002003
100648-1-4-0.wav,100648,25.332994,27.197502,2,10,1,car_horn,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100648-1-4-0.wav,1,car_horn,car_horn,0.9624,True,0.002928,0.9624,0.00302,0.00402,0.005302,0.003828,0.005573,0.004997,0.00397,0.003944
100795-3-0-0.wav,100795,0.19179,4.19179,1,10,3,dog_bark,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100795-3-0-0.wav,3,dog_bark,dog_bark,0.966,True,0.004665,0.003098,0.002533,0.966,0.003675,0.004894,0.004692,0.002861,0.003172,0.004692
100795-3-1-0.wav,100795,13.059155,17.059155,1,10,3,dog_bark,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100795-3-1-0.wav,3,dog_bark,dog_bark,0.965,True,0.00416,0.003218,0.002659,0.965,0.00416,0.00405,0.005787,0.003035,0.003063,0.004982
100795-3-1-1.wav,100795,13.559155,17.559155,1,10,3,dog_bark,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100795-3-1-1.wav,3,dog_bark,dog_bark,0.9634,True,0.004093,0.003098,0.00266,0.9634,0.004154,0.00428,0.00634,0.003197,0.003584,0.00503
100795-3-1-2.wav,100795,14.059155,18.059155,1,10,3,dog_bark,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\100795-3-1-2.wav,3,dog_bark,dog_bark,0.961,True,0.00434,0.00375,0.002642,0.961,0.004936,0.004604,0.00689,0.00322,0.00367,0.005177
101382-2-0-10.wav,101382,5.0,9.0,1,10,2,children_playing,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\101382-2-0-10.wav,2,children_playing,children_playing,0.9546,True,0.005,0.004917,0.9546,0.005974,0.005096,0.00566,0.00495,0.003632,0.005253,0.005116
101382-2-0-12.wav,101382,6.0,10.0,1,10,2,children_playing,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\101382-2-0-12.wav,2,children_playing,children_playing,0.9526,True,0.005295,0.005383,0.9526,0.00626,0.00602,0.005833,0.005093,0.00403,0.00401,0.005432
101382-2-0-20.wav,101382,10.0,14.0,1,10,2,children_playing,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\101382-2-0-20.wav,2,children_playing,children_playing,0.911,True,0.00521,0.00516,0.911,0.04474,0.007412,0.00679,0.00517,0.003216,0.00594,0.00508
101382-2-0-21.wav,101382,10.5,14.5,1,10,2,children_playing,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\101382-2-0-21.wav,2,children_playing,children_playing,0.962,True,0.004734,0.00422,0.962,0.00484,0.005375,0.004303,0.004013,0.002914,0.00415,0.003704
101382-2-0-29.wav,101382,14.5,18.5,1,10,2,children_playing,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\101382-2-0-29.wav,2,children_playing,children_playing,0.9546,True,0.003918,0.00508,0.9546,0.00664,0.005615,0.005234,0.00488,0.003752,0.005745,0.004326
101382-2-0-33.wav,101382,16.5,20.5,1,10,2,children_playing,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\101382-2-0-33.wav,2,children_playing,children_playing,0.965,True,0.00316,0.003391,0.965,0.005848,0.00382,0.004013,0.004025,0.003117,0.003834,0.004055
101382-2-0-42.wav,101382,21.0,25.0,1,10,2,children_playing,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\101382-2-0-42.wav,2,children_playing,children_playing,0.958,True,0.003899,0.00448,0.958,0.00459,0.006104,0.00467,0.00478,0.003284,0.005478,0.004673
101382-2-0-45.wav,101382,22.5,26.5,1,10,2,children_playing,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\101382-2-0-45.wav,2,children_playing,children_playing,0.957,True,0.002228,0.004646,0.957,0.004684,0.005836,0.004436,0.003918,0.003424,0.00263,0.01125
102103-3-0-0.wav,102103,1.97603,2.508892,2,10,3,dog_bark,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102103-3-0-0.wav,3,dog_bark,dog_bark,0.9663,True,0.00163,0.004704,0.005257,0.9663,0.003859,0.002073,0.006153,0.003588,0.0046,0.001791
102103-3-1-0.wav,102103,4.179637,4.568182,2,10,3,dog_bark,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102103-3-1-0.wav,3,dog_bark,dog_bark,0.816,True,0.001056,0.03983,0.01804,0.816,0.01443,0.004406,0.03705,0.0081,0.0542,0.006905
102857-5-0-0.wav,102857,0.0,4.0,1,10,5,engine_idling,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102857-5-0-0.wav,5,engine_idling,engine_idling,0.8877,True,0.002504,0.00797,0.004124,0.006996,0.0143,0.8877,0.00868,0.04306,0.006195,0.01826
102857-5-0-1.wav,102857,0.5,4.5,1,10,5,engine_idling,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102857-5-0-1.wav,5,engine_idling,engine_idling,0.9434,True,0.001715,0.004875,0.002892,0.005833,0.00816,0.9434,0.006405,0.01399,0.00473,0.00787
102857-5-0-10.wav,102857,5.0,9.0,1,10,5,engine_idling,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102857-5-0-10.wav,5,engine_idling,engine_idling,0.952,True,0.001424,0.004715,0.0026,0.00576,0.007755,0.952,0.005352,0.00917,0.003765,0.007465
102857-5-0-11.wav,102857,5.5,9.5,1,10,5,engine_idling,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102857-5-0-11.wav,5,engine_idling,engine_idling,0.957,True,0.001404,0.004745,0.002626,0.005543,0.00568,0.957,0.005592,0.00722,0.00379,0.0064
102857-5-0-12.wav,102857,6.0,10.0,1,10,5,engine_idling,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102857-5-0-12.wav,5,engine_idling,engine_idling,0.9565,True,0.001383,0.00422,0.002691,0.005455,0.006004,0.9565,0.005344,0.00831,0.003918,0.006306
102857-5-0-13.wav,102857,6.5,10.5,1,10,5,engine_idling,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102857-5-0-13.wav,5,engine_idling,engine_idling,0.903,True,0.002745,0.007835,0.00406,0.00723,0.013245,0.903,0.008766,0.032,0.005405,0.01608
102857-5-0-14.wav,102857,7.0,11.0,1,10,5,engine_idling,C:\Users\USER\Desktop\한이음\학습파일\UrbanSound8K\audio\fold10\102857-5-0-14.wav,5,engine_idling,engine_idling,0.9243,True,0.002485,0.00704,0.003515,0.006874,0.01029,0.9243,0.0082,0.0198,0.00501,0.012344
